SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
4486	NEGATIVE	ENGLISH	1642,71	02aENGLISH	6,04
4486	NEGATIVE	ENGLISH	1642,72	12aENGLISH	6,24
4486	NEGATIVE	ENGLISH	1642,78	20aENGLISH	3,08
4423	NEGATIVE	ENGLISH	1642,97	01aENGLISH	5,8
4486	NEGATIVE	ENGLISH	1645,53	01aENGLISH	5,8
4493	NEGATIVE	ENGLISH	1646,82	03aENGLISH	5,16
4423	NEUTRAL	ENGLISH	1647,77	13bENGLISH	4,44
4486	NEUTRAL	ENGLISH	1652,5	05bENGLISH	5,36
4486	NEGATIVE	ENGLISH	1657,4	18aENGLISH	5,88
4353	NEUTRAL	ENGLISH	1657,5	04bENGLISH	4,44
4486	NEGATIVE	ENGLISH	1657,78	06aENGLISH	5,64
4486	NEGATIVE	ENGLISH	1660,08	04aENGLISH	4,28
4486	NEGATIVE	ENGLISH	1660,29	10aENGLISH	4,92
4486	NEUTRAL	ENGLISH	1663,46	06bENGLISH	4,24
4353	NEUTRAL	ENGLISH	1663,65	16bENGLISH	4,52
4493	NEGATIVE	ENGLISH	1664,47	07aENGLISH	4,76
4353	NEGATIVE	ENGLISH	1668,17	05aENGLISH	3,84
4423	NEUTRAL	ENGLISH	1668,24	05bENGLISH	5,36
4493	NEUTRAL	ENGLISH	1669,69	18bENGLISH	5,84
4486	NEGATIVE	ENGLISH	1671,35	15aENGLISH	5,32
4353	NEGATIVE	ENGLISH	1674,79	01aENGLISH	5,8
3570	NEGATIVE	ENGLISH	1677,97	17aENGLISH	6,24
4493	NEGATIVE	ENGLISH	1678,61	10aENGLISH	4,92
4486	NEUTRAL	ENGLISH	1682,27	17bENGLISH	5,28
4486	NEUTRAL	ENGLISH	1684	18bENGLISH	5,84
4493	NEUTRAL	ENGLISH	1689,78	06bENGLISH	4,24
4493	NEUTRAL	ENGLISH	1692,38	13bENGLISH	4,44
4486	NEGATIVE	ENGLISH	1693,6	16aENGLISH	6,12
4423	NEUTRAL	ENGLISH	1694,81	03bENGLISH	5
4353	NEGATIVE	ENGLISH	1695,25	15aENGLISH	5,32
4493	NEUTRAL	ENGLISH	1698,05	07bENGLISH	5
4493	NEUTRAL	ENGLISH	1698,94	04bENGLISH	4,44
3570	NEGATIVE	ENGLISH	1704,18	14aENGLISH	4,8
4493	NEUTRAL	ENGLISH	1707,17	19bENGLISH	5,04
4493	NEGATIVE	ENGLISH	1708,78	04aENGLISH	4,28
4493	NEGATIVE	ENGLISH	1709,33	08aENGLISH	6,4
3570	NEUTRAL	ENGLISH	1710,52	06bENGLISH	4,24
4486	NEGATIVE	ENGLISH	1711,23	08aENGLISH	6,4
4542	NEUTRAL	ENGLISH	1714,09	02bENGLISH	6
4493	NEGATIVE	ENGLISH	1714,59	18aENGLISH	5,88
3570	NEGATIVE	ENGLISH	1715,44	13aENGLISH	5,88
3570	NEUTRAL	ENGLISH	1719,9	14bENGLISH	3,92
4493	NEGATIVE	ENGLISH	1723,26	06aENGLISH	5,64
4493	NEGATIVE	ENGLISH	1723,67	11aENGLISH	5,28
3570	NEGATIVE	ENGLISH	1725,06	08aENGLISH	6,4
4179	NEUTRAL	ENGLISH	1727,23	02bENGLISH	6
4493	NEGATIVE	ENGLISH	1730	16aENGLISH	6,12
4493	NEGATIVE	ENGLISH	1730,66	09aENGLISH	5,28
3570	NEGATIVE	ENGLISH	1732,97	12aENGLISH	6,24
3570	NEUTRAL	ENGLISH	1733,59	20bENGLISH	5,92
4493	NEGATIVE	ENGLISH	1733,68	05aENGLISH	3,84
4486	NEGATIVE	ENGLISH	1734	19aENGLISH	4,24
4486	NEUTRAL	ENGLISH	1734,4	20bENGLISH	5,92
3570	NEGATIVE	ENGLISH	1735,4	15aENGLISH	5,32
4486	NEUTRAL	ENGLISH	1736,5	11bENGLISH	5,96
4542	NEGATIVE	ENGLISH	1737,1	14aENGLISH	4,8
4486	NEUTRAL	ENGLISH	1739,77	14bENGLISH	3,92
4486	NEUTRAL	ENGLISH	1749,24	16bENGLISH	4,52
3570	NEUTRAL	ENGLISH	1749,27	09bENGLISH	5,48
4542	NEGATIVE	ENGLISH	1749,45	05aENGLISH	3,84
4493	NEGATIVE	ENGLISH	1749,47	14aENGLISH	4,8
3570	NEUTRAL	ENGLISH	1754,97	11bENGLISH	5,96
3570	NEUTRAL	ENGLISH	1757,13	04bENGLISH	4,44
4423	NEUTRAL	ENGLISH	1758,05	09bENGLISH	5,48
4542	NEGATIVE	ENGLISH	1761,48	06aENGLISH	5,64
3570	NEGATIVE	ENGLISH	1762,06	10aENGLISH	4,92
4423	NEGATIVE	ENGLISH	1762,32	13aENGLISH	5,88
4486	NEGATIVE	ENGLISH	1763,33	05aENGLISH	3,84
3570	NEUTRAL	ENGLISH	1764,09	07bENGLISH	5
4486	NEUTRAL	ENGLISH	1764,36	12bENGLISH	4,96
3570	NEGATIVE	ENGLISH	1764,37	16aENGLISH	6,12
3570	NEUTRAL	ENGLISH	1767,93	18bENGLISH	5,84
3570	NEUTRAL	ENGLISH	1770,97	05bENGLISH	5,36
4542	NEUTRAL	ENGLISH	1778,3	10bENGLISH	5,6
